filename,lyrics,genre
blues.00000.txt,one bourbon one scotch one beer well babi gone gone tonight aint seen girl sinc night last wanna get drunk get mind one bourbon one scotch one beer sit get stone mellow stone feelin good real mellow dreamin look bar bartend said hey want one bourbon one scotch one beer well babi gone gone tonight aint seen babi sinc night last wanna get drunk get mind one bourbon one scotch one beer ahha yeah uhm im gonna sit wa tastin sippin gettin roll gettin littl dizzi couldnt hardli see bartend couldnt hardli sip bar stool wa rockin wa dizzi look wall old clock time eleven oclock gettin littl late look bar bartend said hey want one bourbon one scotch one beer well babi gone gone tonight aint seen babi sinc night last wanna get drunk get mind one bourbon one scotch one beer ahha yeah ye sir sit bar uhm drinkin look bar bartend look bar look wall old clock time last call alcohol wa quarter two look bar bartend said hey want one bourbon one scotch one beer ,blues
blues.00001.txt,im mood babi im mood love im mood babi im mood love im mood im mood babi im mood love said night time right time one love know night come babi god know your far away im mood im mood babi im mood love im mood mood babi mood love said ye mama told leav girl alon mama didnt know god know girl wa puttin im mood im mood babi mood love im mood im mood babi mood love ,blues
blues.00002.txt,think twice go babi end think twice go babi end done leav one time babi youll leav dig suffer know paid due dig suffer babi know paid due done leav need know stand accus man love wrong break heart rule man love wrong go lot thing your littl strong think twice go babi end think twice go babi end done leav one time babi youll leav ha ,blues
blues.00003.txt,littl thing im go call im bad like jess jame im bad im bad like jess jame uhuh friend one time least thought come said johnni said man want dough said yeah id taken cat get place stay found goin around town tell everybodi got wife heh get man go cat like good guy said look man im gonna warn one time next time warn imma use gun caus im mad im bad like jess jame im mad im mad im gonna run morn got three boy dirti work dont see big ball pay take care way may shoot may cut may drown dont know dont care long take care way im mad im bad mornin like jess jame theyr gonna take right riversid four goin three come back read line what gonna happen caus im mad im bad like jess jame gonna tie hand gonna tie foot gonna gag throat cant holla none cri wont help none gonna send water got bubbl come ooo grrr rrr aww yea im mad ,blues
blues.00004.txt,well mama didnt low stay night long oh lord well mama didnt low stay night long didnt care didnt low would boogiewoogi anyhow first came town peopl wa walkin hast street everybodi wa talkin henri swing club decid drop night got say ye peopl wa realli havin ball ye know boogi chillun one night wa layin heard mama n papa talkin heard papa tell mama let boy boogiewoogi got come felt good went boogien ,blues
blues.00005.txt,sugar mama sugar mama sugar mama pleas come back sugar mama sugar mama sugar mama pleas come back bring granul sugar sugar mama sugar mama eas miseri youv got new grade sugar sugar mama done made love youv got new grade sugar sugar mama done made love youv got granul sugar sugar mama aint nobodi els got braggin bout sugar sugar mama braggin town braggin bout sugar sugar mama braggin town everywher go sugar mama sugar mama hear name read crazi sugar mama eas worri mind read crazi sugar mama eas worri mind got someth someth sugar mama aint nobodi els got bootlegg want sell em enough make whiskey wont sell em four five pound like coffe sweet earli mornin know im crazi bout tea night meant sugar mama like coffe sweet earli mornin know im crazi bout tea night dont get sugar three time day oh lord dont mean cant get along right dont feel right ,blues
blues.00006.txt,babi left morn peopl around four oclock babi left morn peopl around four oclock left dreamin dreamin peopl woke cri babi dont get along well dont doggon thing fuss fight time left dream peopl dream time ever sinc babi left dont doggon thing dream ye nightmar kill know lay dreamin peopl god know wake cri ye sinc babi gone peopl cant eat bite im gonna get morn go lonesom road dont find babi peopl wont back ,blues
blues.00007.txt,lowdown dog dirti groundhog rootin round back door ye catch rootin man lord wont root ye stand watch morn leav home ye stand watch lord morn leav home leav home morn ye hang around day long give toadsn frog hip im gonna gonna put togeth im gonna gonna mix togeth im gonna gonna whup good im gonna gonna kill ol dirti groundhog betcha bottom dollar man wont root na aint gonna root said goodby babi lord im leavin said goodby babi lord im leavin done want done kill dirti ground hog ye ,blues
blues.00008.txt,shake babi shake babi shake babi show show cmon gal shake right waaaaaaah yeah shake babi shake babi shake thing nobodi els would nobodi els shake babi shake babi shake babi one time one time rock hahaha shake thing babi one time daddi love ya your cookin jive honey your workin youv got pot ga workin high one time one time one time shake babi shake babi shake babi shake babi shake thing shake thing shake thing shake thing one time babi one time one time one time one time one time one one one one time one time one time one time one time one time one time uh one time one time one time one time one time one time babi shake babi one time ,blues
blues.00009.txt,fault darlin treat way fault darlin caus treat way left darlin wa callin town town ooh wont give one chanc ooh babi wont give one chanc babi ill prove im love know ill travelin fault darlin made treat way fault darlin made treat way babi go alon realiz oh goodby babi know may never meet oh goodby babi know may never meet fault darlin made treat way ,blues
